2WEI||Survivor||Survivor
A Tribe Called Quest||The Low End Theory||Buggin' Out
AC/DC||Dirty Deeds Done Dirt Cheap||Big Balls
AC/DC||Dirty Deeds Done Dirt Cheap||Squealer
AC/DC||Highway to Hell||Highway to Hell
AC/DC||Highway to Hell||Walk All over You
AFI||Sing The Sorrow||Bleed Black 
Air||Moon Safari||All I Need
Air||Moon Safari||Kelly Watch The Stars
Air||Moon Safari||La femme d'argent
Air||Moon Safari||New Star In The Sky
Air||Moon Safari||Remember
Air||Moon Safari||Sexy Boy
Alice in Chains||Dirt||Hate To Feel 
Alice in Chains||Dirt||Rooster 
Alice in Chains||Dirt||Sickman 
Alice in Chains||Facelift||I Know Somethin  
Alice in Chains||Facelift||Man in the Box
Alice in Chains||Facelift||Put You Down 
Alice in Chains||Jar Of Flies||Don't Follow
Alice in Chains||Jar Of Flies||I Stay Away
Alice in Chains||Jar Of Flies||No Excuses
Alice in Chains||Jar Of Flies||Swing On This 
Alice in Chains||Nothing Safe - The Best Of The Box||Again
Alice in Chains||Nothing Safe - The Best Of The Box||Angry Chair
Alice in Chains||Nothing Safe - The Best Of The Box||Got Me Wrong 
Alice in Chains||Nothing Safe - The Best Of The Box||No Excuses
Alice in Chains||Sap||Am I Inside
Alkaline Trio||Goddamnit||My Little Needle
Alkaline Trio||Goddamnit||San Francisco
Alkaline Trio||Good Mourning||This Could Be Love
Alkaline Trio||Maybe I'll Catch Fire||Maybe I'll Catch Fire
Alkaline Trio||Maybe I'll Catch Fire||Radio
Alkaline Trio||Maybe I'll Catch Fire||Sleepyhead
Andrew Bird||The Swimming Hour||Case In Point
Andrew Bird||The Swimming Hour||Satisfied
Andrew Bird||Weather Systems||Action/ Adventure
Andrew Bird||Weather Systems||I
Animal Collective||Merriweather Post Pavilion||Summertime Clothes
Aphex Twin||Richard D. James Album||4
Aphex Twin||Richard D. James Album||4
Aphex Twin||Richard D. James Album||Girl/Boy
Aphex Twin||Syro||aisatsana [102]
Apoptygma Berzerk||7  [Remastered]||Mourn
Apoptygma Berzerk||7  [Remastered]||Nearer
Apoptygma Berzerk||7||Mourn 
Apoptygma Berzerk||7||Nearer
Apoptygma Berzerk||Harmonizer  [Remastered]||Spindizzy
Apoptygma Berzerk||Harmonizer||Rollergirl
Apoptygma Berzerk||Harmonizer||Something I Should Know
Apoptygma Berzerk||Harmonizer||Suffer In Silence
Apoptygma Berzerk||Kathy's Song||Kathy's Song 
Apoptygma Berzerk||Welcome To Earth||Kathy's Song 
Apoptygma Berzerk||Welcome To Earth||Paranoia
Apoptygma Berzerk||You And Me Against The World||In This Together
Apoptygma Berzerk||You And Me Against The World||Is Electronic Love To Blame?
Apoptygma Berzerk||You And Me Against The World||Love To Blame
Arcade Fire||Funeral||Neighborhood #2 
Arcade Fire||Funeral||Neighborhood #3 
Arcade Fire||Funeral||Rebellion 
Arcade Fire||Funeral||Wake Up
Arcade Fire||Neon Bible||Black Mirror
Arcade Fire||Neon Bible||Black Wave / Bad Vibrations
Arcade Fire||Neon Bible||Black Wave/Bad Vibrations
Arcade Fire||Neon Bible||Intervention
Arcade Fire||Reflektor ||Normal Person
Arcade Fire||The Suburbs||Ready to Start
Archer Prewitt||White Sky||Raise On High
Archer Prewitt||White Sky||Shake
Aretha Franklin||The Queen Of Soul||You Are My Sunshine
Ariel Pink's Haunted Graffiti||Before Today||Round And Round
Assemblage 23||Defiance||Fallen Down
Assemblage 23||Defiance||Opened
Atlas Sound||Logos||Quick Canal 
Atom and His Package||Redefining Music||Going to Georgia
Atom and His Package||Redefining Music||If You Own The Washington Redskins, You’re A Cock
Atom and His Package||Redefining Music||Mission 1: Avoid Job Working With Assholes
Atom and His Package||Redefining Music||Open Your Heart
Atom and His Package||Redefining Music||Shopping Spree
Atom and His Package||Redefining Music||Upside Down From Here
Au Revoir Simone||Move in Spectrums||More Than
Au Revoir Simone||Still Night, Still Light||Knight of Wands
Au Revoir Simone||The Bird Of Music ||Stars
Bad Religion||Recipe For Hate||Kerosene
Bad Religion||The Process Of Belief||Bored and Extremely Dangerous
Badly Drawn Boy||The Hour Of Bewilderbeast||Say It Again
Basement Jaxx||Remedy||Red Alert
Basement Jaxx||Remedy||Rendez-Vu
Basement Jaxx||Rooty||Where’s Your Head At
Bass Patrol||Body & Soul||What They Do
Bass Patrol||Body & Soul||Who YA Wit
Bat for Lashes||The Haunted Man||A Wall
Bauhaus||Burning From The Inside||Antonin Artaud
Bauhaus||Burning From The Inside||King Volcano
Bauhaus||Burning From The Inside||Slice of Life
Bauhaus||In The Flat Field||A God in an Alcove
Bauhaus||The Sky's Gone Out||All We Ever Wanted Was Everything
Bauhaus||The Sky's Gone Out||Exquisite Corpse
Bauhaus||The Sky's Gone Out||Silent Hedges
Bauhaus||The Sky's Gone Out||Spirit
Bauhaus||The Sky's Gone Out||The Three Shadows Part 2
Bauhaus||The Sky's Gone Out||The Three Shadows Part 3
Bauhaus||The Sky's Gone Out||Ziggy Stardust
